a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.5,7.5,5,-51.65468294,-2.487910232,-0.858391009,-11.24052011,2,Done,pentacene_theta=5_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,5,-39.44283633,-0.008241716,-9.002760468,-5.355207991,2,Done,pentacene_theta=5_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,10,-54.72853063,-3.393983216,-0.85155366,-11.55936422,1,Done,pentacene_theta=10_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,10,-41.66703549,-0.02163027,-9.961225517,-5.425330978,1,Done,pentacene_theta=10_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,15,-61.9070367,-5.209075972,-0.974608371,-12.384917,1,Done,pentacene_theta=15_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,5,-52.59653278,-2.661943856,-0.948373433,-11.34397455,1,Done,pentacene_theta=5_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,5,-34.3204973,-0.009210592,-6.359141159,-5.39594845,1,Done,pentacene_theta=5_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,10,-55.93597283,-3.631143091,-0.936288846,-11.70027724,1,Done,pentacene_theta=10_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,5,-52.10460133,-2.487910232,-0.948372806,-11.30800881,1,Done,pentacene_theta=5_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,5,-33.88051992,-0.008241716,-6.359141159,-5.286438542,1,Done,pentacene_theta=5_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,10,-55.19718271,-3.393983216,-0.936288846,-11.63415965,1,Done,pentacene_theta=10_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.6,5,-51.49890609,-2.269767676,-0.948372806,-11.26565628,1,Done,pentacene_theta=5_a=6.4_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,5,-33.3662077,-0.007353162,-6.359141159,-5.158304765,1,Done,pentacene_theta=5_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,10,-54.34841394,-3.110532557,-0.936288846,-11.56369278,1,Done,pentacene_theta=10_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13,10,-36.63531392,-0.023189004,-7.369697069,-5.462385444,2,Done,pentacene_theta=10_a=3.4_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,5,-52.23603581,-2.661943856,-0.858391009,-11.29884152,1,Done,pentacene_theta=5_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,10,-55.54537797,-3.631143091,-0.85155366,-11.64499612,1,Done,pentacene_theta=10_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,5,-39.98013298,-0.009210592,-9.002760468,-5.489047716,1,Done,pentacene_theta=5_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,15,-62.61901959,-5.476181878,-1.071645263,-12.38084133,2,Done,pentacene_theta=15_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,10,-36.19971154,-0.02163027,-7.369697069,-5.354264216,2,Done,pentacene_theta=10_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.6,5,-50.96446963,-2.269767676,-0.858391009,-11.17703806,1,Done,pentacene_theta=5_a=6.5_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,10,-53.80530153,-3.110532557,-0.85155366,-11.47028227,1,Done,pentacene_theta=10_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
