a,b,theta,Rt,A2,E,E_p1,E_t,machine_type,status,file_name
6.0,7.2,65,0.0,-20,-6.424281717510894,-5.778054349124432,1.2829567451844923,3,Done,anthracene_theta=65_Rt=0.0_A2=-20_a=6.0_b=7.2.log
6.0,7.2,65,0.0,-16,-21.01088218926452,-5.928252632729709,-2.288594230951276,3,Done,anthracene_theta=65_Rt=0.0_A2=-16_a=6.0_b=7.2.log
6.0,7.2,65,0.0,-12,-31.05929520050995,-5.859496361808851,-4.835075619223062,3,Done,anthracene_theta=65_Rt=0.0_A2=-12_a=6.0_b=7.2.log
6.0,7.2,65,0.0,-8,-37.50904378434643,-5.700533018680289,-6.526994436746463,3,Done,anthracene_theta=65_Rt=0.0_A2=-8_a=6.0_b=7.2.log
6.0,7.2,65,0.0,-4,-41.45571019803174,-5.548897737287916,-7.589478680863976,3,Done,anthracene_theta=65_Rt=0.0_A2=-4_a=6.0_b=7.2.log
6.0,7.2,65,0.0,0,-42.88719103042968,-5.484534036484547,-7.979530739365146,3,Done,anthracene_theta=65_Rt=0.0_A2=0_a=6.0_b=7.2.log
6.0,7.2,65,0.0,4,-41.45571019803174,-5.548897737287916,-7.589478680863976,3,Done,anthracene_theta=65_Rt=0.0_A2=4_a=6.0_b=7.2.log
6.0,7.2,65,0.0,8,-37.50904378434643,-5.700533018680289,-6.526994436746463,3,Done,anthracene_theta=65_Rt=0.0_A2=8_a=6.0_b=7.2.log
6.0,7.2,65,0.0,12,-31.0592826504726,-5.859490086790174,-4.835075619223062,3,Done,anthracene_theta=65_Rt=0.0_A2=12_a=6.0_b=7.2.log
6.0,7.2,65,0.0,16,-21.01088218926452,-5.928252632729709,-2.288594230951276,3,Done,anthracene_theta=65_Rt=0.0_A2=16_a=6.0_b=7.2.log
6.0,7.2,65,0.0,20,-6.424259126884863,-5.778055604081601,1.2829630203195848,3,Done,anthracene_theta=65_Rt=0.0_A2=20_a=6.0_b=7.2.log
6.0,7.2,65,0.2,-20,-7.494507553055882,-5.778054349124432,1.0154002862982452,3,Done,anthracene_theta=65_Rt=0.2_A2=-20_a=6.0_b=7.2.log
6.0,7.2,65,0.2,-16,-21.447217502631247,-5.928252632729709,-2.397678059292957,3,Done,anthracene_theta=65_Rt=0.2_A2=-16_a=6.0_b=7.2.log
6.0,7.2,65,0.2,-12,-31.16291467170231,-5.859496361808851,-4.860980487021152,3,Done,anthracene_theta=65_Rt=0.2_A2=-12_a=6.0_b=7.2.log
6.0,7.2,65,0.2,-8,-37.52809749729931,-5.700533018680289,-6.531757864984684,3,Done,anthracene_theta=65_Rt=0.2_A2=-8_a=6.0_b=7.2.log
6.0,7.2,65,0.2,-4,-41.355893437284976,-5.548897737287916,-7.564524490677286,3,Done,anthracene_theta=65_Rt=0.2_A2=-4_a=6.0_b=7.2.log
6.0,7.2,65,0.2,0,-42.55155601166189,-5.484534036484547,-7.895621984673198,3,Done,anthracene_theta=65_Rt=0.2_A2=0_a=6.0_b=7.2.log
6.0,7.2,65,0.2,4,-40.93572027166374,-5.548897737287916,-7.459481199271977,3,Done,anthracene_theta=65_Rt=0.2_A2=4_a=6.0_b=7.2.log
6.0,7.2,65,0.2,8,-36.99561510188505,-5.700533018680289,-6.398637266131118,3,Done,anthracene_theta=65_Rt=0.2_A2=8_a=6.0_b=7.2.log
6.0,7.2,65,0.2,12,-30.5783363962546,-5.859490086790174,-4.714839055668563,3,Done,anthracene_theta=65_Rt=0.2_A2=12_a=6.0_b=7.2.log
6.0,7.2,65,0.2,16,-20.47336716414429,-5.928252632729709,-2.1542154746712185,3,Done,anthracene_theta=65_Rt=0.2_A2=16_a=6.0_b=7.2.log
6.0,7.2,65,0.2,20,-5.633373133605346,-5.778055604081601,1.480684518639464,3,Done,anthracene_theta=65_Rt=0.2_A2=20_a=6.0_b=7.2.log
6.0,7.2,65,0.4,-20,-8.502893531927839,-5.778054349124432,0.7633037915802561,3,Done,anthracene_theta=65_Rt=0.4_A2=-20_a=6.0_b=7.2.log
6.0,7.2,65,0.4,-16,-21.480355051113293,-5.928252632729709,-2.405962446413469,3,Done,anthracene_theta=65_Rt=0.4_A2=-16_a=6.0_b=7.2.log
6.0,7.2,65,0.4,-12,-30.72067072428763,-5.859496361808851,-4.750419500167482,3,Done,anthracene_theta=65_Rt=0.4_A2=-12_a=6.0_b=7.2.log
6.0,7.2,65,0.4,-8,-36.93699060776271,-5.700533018680289,-6.383981142600533,3,Done,anthracene_theta=65_Rt=0.4_A2=-8_a=6.0_b=7.2.log
6.0,7.2,65,0.4,-4,-40.61746978969313,-5.548897737287916,-7.379918578779325,3,Done,anthracene_theta=65_Rt=0.4_A2=-4_a=6.0_b=7.2.log
6.0,7.2,65,0.4,0,-41.63383769639768,-5.484534036484547,-7.666192405857146,3,Done,anthracene_theta=65_Rt=0.4_A2=0_a=6.0_b=7.2.log
6.0,7.2,65,0.4,4,-39.988812702242285,-5.548897737287916,-7.222754306916613,3,Done,anthracene_theta=65_Rt=0.4_A2=4_a=6.0_b=7.2.log
6.0,7.2,65,0.4,8,-36.21599667798728,-5.700533018680289,-6.203732660156675,3,Done,anthracene_theta=65_Rt=0.4_A2=8_a=6.0_b=7.2.log
6.0,7.2,65,0.4,12,-30.015419765375555,-5.859490086790174,-4.5741098979488015,3,Done,anthracene_theta=65_Rt=0.4_A2=12_a=6.0_b=7.2.log
6.0,7.2,65,0.4,16,-20.171790877822787,-5.928252632729709,-2.078821403090842,3,Done,anthracene_theta=65_Rt=0.4_A2=16_a=6.0_b=7.2.log
6.0,7.2,65,0.4,20,-5.432205977384001,-5.778055604081601,1.5309763076948002,3,Done,anthracene_theta=65_Rt=0.4_A2=20_a=6.0_b=7.2.log
6.0,7.2,65,0.6,-20,-9.17481617978774,-5.778054349124432,0.5953231296152808,3,Done,anthracene_theta=65_Rt=0.6_A2=-20_a=6.0_b=7.2.log
6.0,7.2,65,0.6,-16,-20.99236311484128,-5.928252632729709,-2.283964462345466,3,Done,anthracene_theta=65_Rt=0.6_A2=-16_a=6.0_b=7.2.log
6.0,7.2,65,0.6,-12,-29.73257088800892,-5.859496361808851,-4.503394541097805,3,Done,anthracene_theta=65_Rt=0.6_A2=-12_a=6.0_b=7.2.log
6.0,7.2,65,0.6,-8,-35.81193294888362,-5.700533018680289,-6.102716727880761,3,Done,anthracene_theta=65_Rt=0.6_A2=-8_a=6.0_b=7.2.log
6.0,7.2,65,0.6,-4,-39.40863954578526,-5.548897737287916,-7.077711017802358,3,Done,anthracene_theta=65_Rt=0.6_A2=-4_a=6.0_b=7.2.log
6.0,7.2,65,0.6,0,-40.38504259590991,-5.484534036484547,-7.353993630735204,3,Done,anthracene_theta=65_Rt=0.6_A2=0_a=6.0_b=7.2.log
6.0,7.2,65,0.6,4,-38.89588606520556,-5.548897737287916,-6.949522647657432,3,Done,anthracene_theta=65_Rt=0.6_A2=4_a=6.0_b=7.2.log
6.0,7.2,65,0.6,8,-35.45374522078782,-5.700533018680289,-6.013169795856811,3,Done,anthracene_theta=65_Rt=0.6_A2=8_a=6.0_b=7.2.log
6.0,7.2,65,0.6,12,-29.68475462612696,-5.859490086790174,-4.491443613136653,3,Done,anthracene_theta=65_Rt=0.6_A2=12_a=6.0_b=7.2.log
6.0,7.2,65,0.6,16,-20.361098094610497,-5.928252632729709,-2.1261482072877698,3,Done,anthracene_theta=65_Rt=0.6_A2=16_a=6.0_b=7.2.log
6.0,7.2,65,0.6,20,-5.97991929622367,-5.778055604081601,1.394047977984883,3,Done,anthracene_theta=65_Rt=0.6_A2=20_a=6.0_b=7.2.log
6.0,7.2,65,0.8,-20,-9.415995883755386,-5.778054349124432,0.5350282036233693,3,Done,anthracene_theta=65_Rt=0.8_A2=-20_a=6.0_b=7.2.log
6.0,7.2,65,0.8,-16,-20.071341587230563,-5.928252632729709,-2.053709080442786,3,Done,anthracene_theta=65_Rt=0.8_A2=-16_a=6.0_b=7.2.log
6.0,7.2,65,0.8,-12,-28.38931796234101,-5.859496361808851,-4.167581309680827,3,Done,anthracene_theta=65_Rt=0.8_A2=-12_a=6.0_b=7.2.log
6.0,7.2,65,0.8,-8,-34.39163183490746,-5.700533018680289,-5.74764144938672,3,Done,anthracene_theta=65_Rt=0.8_A2=-8_a=6.0_b=7.2.log
6.0,7.2,65,0.8,-4,-38.027552786748856,-5.548897737287916,-6.732439328043256,3,Done,anthracene_theta=65_Rt=0.8_A2=-4_a=6.0_b=7.2.log
6.0,7.2,65,0.8,0,-39.10871235677041,-5.484534036484547,-7.034911070950329,3,Done,anthracene_theta=65_Rt=0.8_A2=0_a=6.0_b=7.2.log
6.0,7.2,65,0.8,4,-37.94402367598377,-5.548897737287916,-6.711557050351985,3,Done,anthracene_theta=65_Rt=0.8_A2=4_a=6.0_b=7.2.log
6.0,7.2,65,0.8,8,-34.9654972597491,-5.700533018680289,-5.89110780559713,3,Done,anthracene_theta=65_Rt=0.8_A2=8_a=6.0_b=7.2.log
