a,b,theta,Rt,A2,E,E_p1,E_t,machine_type,status,file_name
6.0,7.2,65,2.2,0,-24.77751849440392,-3.520475427270867,-4.434141909965547,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6_b=7.2.log
6.0,7.2,65,2.2,1,-24.953599055530503,-3.5231442273943685,-4.476827650185442,3,Done,naphthalene_theta=65_Rt=2.2_A2=1_a=6_b=7.2.log
6.0,7.2,65,2.1,2,-25.11148684681393,-3.5310050451080315,-4.512369189149467,3,Done,naphthalene_theta=65_Rt=2.1_A2=2_a=6_b=7.2.log
6.0,7.2,65,2.1,3,-25.282955209258944,-3.543633056280669,-4.5489222741744015,3,Done,naphthalene_theta=65_Rt=2.1_A2=3_a=6_b=7.2.log
6.0,7.2,65,2.1,4,-25.434551585116424,-3.5603662379435264,-4.578454777307343,3,Done,naphthalene_theta=65_Rt=2.1_A2=4_a=6_b=7.2.log
6.0,7.2,65,2.0,5,-25.587072910857387,-3.5804183200816624,-4.606559067673516,3,Done,naphthalene_theta=65_Rt=2.0_A2=5_a=6_b=7.2.log
6.0,7.2,65,2.0,6,-25.734196395264007,-3.602928358770441,-4.632084919430781,3,Done,naphthalene_theta=65_Rt=2.0_A2=6_a=6_b=7.2.log
6.0,7.2,65,1.9,7,-25.857244831044227,-3.626928733778186,-4.650846840871964,3,Done,naphthalene_theta=65_Rt=1.9_A2=7_a=6_b=7.2.log
6.0,7.2,65,1.9,8,-25.99569612764753,-3.6515672864043154,-4.673140388709726,3,Done,naphthalene_theta=65_Rt=1.9_A2=8_a=6_b=7.2.log
6.0,7.2,65,1.9,9,-26.105804051971063,-3.675956090039108,-4.688472967973212,3,Done,naphthalene_theta=65_Rt=1.9_A2=9_a=6_b=7.2.log
5.9,7.1,65,2.2,0,-24.61100495106075,-3.559259310422931,-4.373121582553722,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=5.9_b=7.1.log
5.9,7.2,65,2.2,0,-24.75054811500013,-3.559259310422931,-4.408007373538567,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=5.9_b=7.2.log
5.9,7.3,65,2.2,0,-24.72395424102433,-3.559259310422931,-4.401358905044617,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=5.9_b=7.3.log
6.0,7.1,65,2.2,0,-24.72390655009076,-3.520475427270867,-4.4207389238872565,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6_b=7.1.log
6.0,7.3,65,2.2,0,-24.68027954478748,-3.520475427270867,-4.409832172561437,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6_b=7.3.log
6.1,7.1,65,2.2,0,-24.5868420508923,-3.3911387136904523,-4.451141155877849,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6.1_b=7.1.log
6.1,7.2,65,2.2,0,-24.564590546535328,-3.3911387136904523,-4.445578279788606,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6.1_b=7.2.log
6.1,7.3,65,2.2,0,-24.405908327316865,-3.3911387136904523,-4.40590772498399,3,Done,naphthalene_theta=65_Rt=2.2_A2=0_a=6.1_b=7.3.log
5.9,7.1,65,2.2,1,-24.813276524306275,-3.563331850222312,-4.421653205965413,3,Done,naphthalene_theta=65_Rt=2.2_A2=1_a=5.9_b=7.1.log
5.9,7.2,65,2.2,1,-24.93791758071165,-3.563331850222312,-4.452813470066758,3,Done,naphthalene_theta=65_Rt=2.2_A2=1_a=5.9_b=7.2.log
