cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,0.9,11.4,5.9,7.2,65.0,2.3,0.0,-5.445137703907676,-0.9609813642455264,-0.1082567701814696,-0.1524309642845764,-2.06019439623924,-0.051539906358812,-0.051539906358812,-2.06019439623924,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.9_cz=11.4.log
0.0,0.9,11.3,5.9,7.2,65.0,2.3,1.0,-5.5199130503460765,-0.8867645014543086,-0.1241641486994922,-0.1563102309592068,-2.121441254741512,-0.0548958298750221,-0.0548958298750221,-2.121441254741512,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.9_cz=11.3.log
0.0,1.0,11.3,6.0,7.2,65.0,2.2,2.0,-5.466542069916613,-0.9432579717831686,-0.1192607855191454,-0.1432040570070967,-2.07353023882024,-0.0568793889833614,-0.0568793889833614,-2.07353023882024,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.0_cz=11.3.log
0.0,1.1,11.3,5.9,7.3,65.0,2.2,3.0,-5.610868114628829,-1.0097903470741585,-0.1291503430111333,-0.1450953722232952,-2.1074954724754207,-0.0559205536847002,-0.0559205536847002,-2.1074954724754207,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.1_cz=11.3.log
0.0,1.2,11.2,5.9,7.3,65.0,2.1,4.0,-5.743130907532759,-1.0583345206687227,-0.1441302619641646,-0.1481325206113979,-2.134629632346332,-0.0616371697979047,-0.0616371697979047,-2.134629632346332,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.2_cz=11.2.log
0.0,1.3,11.2,5.9,7.3,65.0,2.1,5.0,-5.866830698796548,-1.1531500265700745,-0.1468272998463362,-0.1423669587820768,-2.151790148403961,-0.060453058395069,-0.060453058395069,-2.151790148403961,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.3_cz=11.2.log
0.0,1.4,11.1,5.9,7.4,65.0,2.0,6.0,-5.999062116257846,-1.24619846441783,-0.1640549594303593,-0.1447477317415177,-2.15654730173992,-0.0654831785941496,-0.0654831785941496,-2.15654730173992,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.4_cz=11.1.log
0.0,1.4,11.0,5.9,7.4,65.0,2.0,7.0,-6.136469235876575,-1.298723561456427,-0.1907868854468688,-0.147046928294003,-2.180560854380019,-0.0693950759596191,-0.0693950759596191,-2.180560854380019,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.4_cz=11.0.log
0.0,1.5,10.9,5.9,7.5,65.0,2.0,8.0,-6.254779970855452,-1.4188264652621,-0.2131726770894602,-0.1490788056980818,-2.166159499785863,-0.0706915116170421,-0.0706915116170421,-2.166159499785863,3,Done,anthracene_a=5.9_b=7.5_theta=65.0_Rt=2.0_A2=8.0_cx=0.0_cy=1.5_cz=10.9.log
0.0,1.5,10.8,5.9,7.5,65.0,1.9,9.0,-6.285022187978029,-1.4461482509505004,-0.2470494318986311,-0.1511433136183768,-2.141293788619805,-0.0790468071354553,-0.0790468071354553,-2.141293788619805,3,Done,anthracene_a=5.9_b=7.5_theta=65.0_Rt=1.9_A2=9.0_cx=0.0_cy=1.5_cz=10.8.log
0.0,1.5,10.8,5.9,7.6,65.0,1.9,10.0,-6.232645183685236,-1.4731951866997406,-0.2591528450138867,-0.1451945188455283,-2.0995336257619783,-0.0780176908010616,-0.0780176908010616,-2.0995336257619783,3,Done,anthracene_a=5.9_b=7.6_theta=65.0_Rt=1.9_A2=10.0_cx=0.0_cy=1.5_cz=10.8.log
0.0,0.8,11.3,5.9,7.2,65.0,2.3,0.0,-5.412854824331589,-0.8490398552967235,-0.1212788576958701,-0.162193764699623,-2.084531116706785,-0.0556400566129013,-0.0556400566129013,-2.084531116706785,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.8_cz=11.3.log
0.0,0.8,11.4,5.9,7.2,65.0,2.3,0.0,-5.315072451136075,-0.9123656543670222,-0.1119979848153889,-0.1518800104968249,-2.017004137916956,-0.0524102628114633,-0.0524102628114633,-2.017004137916956,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.8_cz=11.4.log
0.0,0.8,11.5,5.9,7.2,65.0,2.3,0.0,-5.14914500201121,-0.9183420598274096,-0.1034638488199561,-0.1421598804881796,-1.943209589459002,-0.0493800169788301,-0.0493800169788301,-1.943209589459002,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.8_cz=11.5.log
0.0,0.9,11.3,5.9,7.2,65.0,2.3,0.0,-5.544348289491609,-0.9258646494708956,-0.1172866390552371,-0.1626317666377872,-2.1146258686785586,-0.0546567484852857,-0.0546567484852857,-2.1146258686785586,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.9_cz=11.3.log
0.0,0.9,11.5,5.9,7.2,65.0,2.3,0.0,-5.279082242632285,-0.9454956722911448,-0.0999523028731346,-0.1428350812057033,-1.996795805927832,-0.0486037872033193,-0.0486037872033193,-1.996795805927832,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.9_cz=11.5.log
0.0,1.0,11.3,5.9,7.2,65.0,2.3,0.0,-5.572956470772624,-0.9965222754981368,-0.1132530047325417,-0.1628074696054682,-2.0965134200523607,-0.0536734404158778,-0.0536734404158778,-2.0965134200523607,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=1.0_cz=11.3.log
